prefecture_id, prefecture_name, prefecture_hash, area_id, prefecture_comment1, prefecture_comment2, prefecture_tree, prefecture_flower, prefecture_bird
24, 三重県, 8558110543dd27e7c06baf68af93ad659cd725baf1685a6a65e1723433e7adcc, 04, 夫婦岩があるのは、縁結び・夫婦円満・交通安全などにご利益のある二見興玉神社。三重県のパワースポットのひとつでもあり、古くより伊勢神宮参拝の前には、ここで心身を清める習わしがあります。夕暮れ時には夫婦岩が黄昏のなかで一層神秘的に映ります。, 伊勢志摩は日本有数の「伊勢海老」と「蛤」の産地です。漁が解禁される秋から冬にかけて新鮮な海の幸が楽しめます。インパクトのある三重の伊勢海老は、グルメ写真映えすること間違いなしです。, 神宮スギ, ハナショウブ, シロチドリ
25, 滋賀県, f1f2550a7e0b8842e4827ff829b1d3d38b113b2104a78292ace98ee16229571e, 04, 毎年8月に開催される琵琶湖大花火大会。私が滋賀県で過ごした学生時代は、毎年のように友人と浴衣を着て出かけ、暑いなか屋台の行列に並んだり、湖面に映る幻想的な花火の情景を鑑賞したりと、思い出がたくさんある夏の風物詩です。, 昔は滋賀の保存食として食べられていた「鮒寿司」。地域によって少しずつ作り方の差があり、味も違います。一般の方でも参加できる「鮒寿司」の漬け込み講習会も開催されており、その食文化が受け継がれています。, 紅葉, 石楠花, かいつぶり
26, 京都府, 56f0d560ebc884d5acb567daa0eefe7007870c2275933a7fbc57a363357b47ff, 04, 日本三景のひとつであり、数千本の松の木が茂る細長い砂浜が全長3.6kmも続く景勝地です。 京都といえば、神社仏閣を訪れる方が多いかと思いますが、観光船やボート、サイクリングなど様々な楽しみ方がある天橋立にもぜひ足を延ばしてみてください。, 静岡茶・狭山茶と並ぶ、通称「日本三大茶」の一つが京都の「宇治茶」。老舗の茶店で点てたお茶をいただくのはもちろん、古民家を改装したカフェで宇治茶を使ったスイーツをいただくのも、京都を訪れる楽しみの一つです。, 北山杉, しだれ桜・嵯峨ぎく・なでしこ, オオミズナギドリ
27, 大阪府, 961adc8568a6d78da5b96adbb7a123b034d41f7ac355a6bfeac242d539df5902, 04, 誰もが一度は日本の歴史の教科書で見た仁徳天皇陵古墳を擁する百舌鳥・古市古墳群。国内最大級の前方後円墳は、太古の歴史と謎を秘めた、ロマンあふれる名所です。, お店ごとの秘伝のソースがあるのが大阪名物の「串カツ」。アツアツの串カツにソースをたっぷり染み込ませていただくのがたまりません。店選びに迷ったら、大阪らしく活気あふれる昔ながらのお店に入るのがおすすめです。でも、ソースは二度付け禁止なのでご注意を！, いちょう, さくらそう・うめ, もず
28, 兵庫県, b169ce7a3975e271a348347707f75ba25fd84e2e8aa9a154d09f914ccf852940, 04, 神戸市では、夜になると六甲山系の山肌に市章・イカリ・KOBEなどをモチーフにした電飾の灯かりがともります。この夜景は、国際的な港町の神戸らしい雰囲気が満点です。, たこ焼きとも似ていますが、卵がメインの生地に大ぶりのタコが入っていて、ソースではなくあっさり味の出汁につけて食べるのが「明石焼き」。発祥地の明石市では、全国に知られている明石焼きという呼び方ではなく「玉子焼き」と呼ばれています。食べると思わず笑顔になれる思い出の味です。, クスノキ, ノジギク, コウノトリ
29, 奈良県, df45bcb80154a8827a9db90c3dcd60ea493ca4d78c7754bc847a05d8e6434036, 04, 世界遺産である吉野山には、ソメイヨシノの原木であるシロヤマザクラと呼ばれる山桜を中心に約200種30000本の桜が密集しています。その息をのむほどの絶景は、「日本に生まれて良かった！」と改めて実感させてくれます。, 柿の葉には抗酸化作用や殺菌作用があり、保存食としても重宝されていた奈良名物「柿の葉寿司」。一晩ねかせて食べるとよりおいしいとも言われています。秋には色づいた柿の葉を使用したお寿司を販売するお店もあります。, すぎ, 奈良八重桜, こまどり
30, 和歌山県, 07daab6f59a5c5d5cb7b443986e6e7974298f7bdae5a17c46d12721f94cec6ab, 04, 和歌山県といえば、真っ白でサラサラの砂で有名な美しい白浜。そこで毎年開催されているのが砂まつり大会です。\n当日の日の出ごろから参加者が集い、海岸の白砂と海水で作品づくりをする体験型のコンクールでもあり、地元の名物イベントです。, 和歌山県は、梅の収穫量が全国で1位、国内収穫量のなんと6割以上を占めています（2018年）。梅の産地ならではの梅を使ったグルメやスイーツもたくさんあります。最近では和歌山の名産品の紀州梅と地鶏の両方を使用した「梅バーガー」なども見かけます。, ウバメガシ, ウメ, メジロ
31, 鳥取県, 0b71c7878bdf5dbc7ba4260b661bba2fdfb25b3bf4e38d4a662ecd85639b2ffa, 05, 平安時代の後期に建てられた投入堂は、 険しい修験道の先にある断崖絶壁に建つ荘厳な寺院。本来、修験道であったところにつくられたこのお寺は、国宝として長い歴史と伝説が語り継がれています。, 鳥取県は、日本有数の蟹の水揚げ量を誇り、境港周辺のお店ではお手頃価格で蟹料理を楽しむことができます。カニ足を出汁にさっとくぐらせていただくと、豊かな風味とほのかな甘みを感じられます。蟹のエキスたっぷりのお出汁で作った雑炊もまた格別です。, ダイセンキャラボク, 二十世紀梨の花, オシドリ
32, 島根県, 32d6e5226465fcbea752c2ba5c8885b949b8f71f9a5dc854496a2ecf6158669e, 05, 「稲佐の浜」は、神々が集うと言われている旧暦10月11日に全国の八百万の神を向かい入れる浜です。稲佐の浜には頂上に鳥居を構える不思議な島「弁天島」があり、地元では「べんてんさん」という愛称で親しまれているスポットです。, サバは、焼き魚や煮付け、酢でしめるなどして食べることが多いですが、島根ではその鮮度を活かしてしゃぶしゃぶでいただきます。お店によって出汁の味が違うので、お気に入りの出汁の味を探してみるのもおすすめです。, クロマツ, ボタン, ハクチョウ
33, 岡山県, c4caa2f55d2fd1aaeb80f954d26a50d5a529d408d9f010987aa090ada029baa8, 05, 倉敷川沿いの柳並木と蔵の白壁、昔ながらの町屋にレトロな洋館など、美しい街並みが続いて見飽きることのない倉敷美観地区。昼の散策も良いですが、ライトアップされた夜も情緒があっておすすめです。また、同地区にある日本最初の西洋美術館「大原美術館」の建築の美しさ、そして素晴らしいコレクションは一見の価値ありです。, B-1グランプリ（ご当地グルメの祭典）で全国1位を獲得したことがある「ひるぜん焼きそば」。濃厚な味噌ベースの甘辛ダレとかしわ肉、地元蒜山高原のキャベツを使っているのがポイント。お店によってタレの味付けが違うので食べ比べも楽しみの一つです。, あかまつ, ももの花, きじ
34, 広島県, 26f2604f531759f10f2e9f634841be86390472edf3cd3692f9c91da04bd139ad, 05, 近年、アニメの舞台となったことでも注目された鞆の浦は、江戸時代の面影を残す歴史のある港町。当時を感じられる街並みがいまでも残っています。\nひな祭りの時期には、およそ1ヶ月もの期間「町並みひな祭」という行事が開催され、町屋や酒蔵など、市内のいたるところに代々受け継がれてきたひな人形が並びます。, 牡蠣の生産量全国1位の広島では、酢牡蠣に土手鍋、カキフライやお好み焼きなど、牡蠣を使ったグルメが豊富に楽しめます。牡蠣がおいしくなる1月中旬から2月頃には、各地でフードイベントが行われ、この時期に合わせて広島を訪れる旅行者も多いそうです。, モミジ, モミジ, アビ
35, 山口県, c86fd25ed44756753cc88a71f69156bb4c5194ff900c3f7b27aa2431f5e75704, 05, 2000年に開通した、山口県下関市と豊北町角をつなぐ角島大橋。 まるで異国のリゾート地のようなエメラルドグリーンに輝く海と、真っ青な空を橋から見渡すことができます。現地で食べられる、地元の海女さんがとったサザエの壺焼きもおすすめです。とくに、お天気が良い日の観光は最高ですよ。, 茶そばを瓦の上にのせて焼き、温かいつゆで食べる、という変わった食べ方をしますが、その味は抜群です。茶そばを焼くことでお茶の香りが立ち、上品なつゆとよく合います。家では瓦のかわりにホットプレートを使って熱々をいただきます。, アカマツ, 夏みかんの花, ナベヅル
36, 徳島県, ff56be65e793b763c155ed6dd0a5a39717e3d14617ae7e4123218b6edc57d579, 05, いまでも手付かずの自然が残る日本有数の秘境のひとつ。四季折々の表情を楽しめるうえに、野生のシラクチカズラという植物で編まれたつり橋を渡ることもできる、スリル満点の絶景スポットです。, 徳島ラーメンはスープの味が濃く、やや強めの甘味が特徴。まるですき焼きのような感覚で、甘辛いラーメンをごはんのおかずとして食べる人も多いです。茶系・白系・黄系の3系統あり、3種を食べ比べて楽しめるのも魅力のひとつです。, やまもも, すだちの花, しらさぎ
37, 香川県, 6cc56d7f2b27b1501b066a769b413360078baf9ea5fc6ca0199804f8dd261b5e, 05, 干潮時の美しさは、南米・ボリビアのウユニ塩湖の水鏡のような光景だと話題のスポット。夕暮れ時には空のグラデーションが水面に映り、自然の織りなすコントラストの美しさに何度訪れても心打たれる場所です。「日本の夕陽百選」にも選ばれています。, 約900件ものうどん屋が軒を連ね、「うどん県」という別名も知られている香川県。お店によって食べ方もバラエティに富んでいます。わたしのおすすめは、さぬきうどん本来の美味しさを存分に味わえる「冷しぶっかけ」です。, オリーブ, オリーブ, ホトトギス
38, 愛媛県, eabd4f1410a8198a8ebb6a391269aad5daf844f7431bef51bf1d43bb42834f0f, 05, 3000年もの歴史を持つ日本最古の温泉といえば道後温泉。日本書紀や源氏物語にも登場し、聖徳太子も入ったといわれています。入浴後にはレンタルも可能な浴衣を着て、商店街「道後ハイカラ通り」のレトロな雰囲気を楽しむのもおすすめです。, 郷土料理「鯛めし」は地域によって食べ方が違います。松山市を中心とした地域では、タレに漬けたお刺身をごはんにのせる食べ方をしますが、宇和島市を中心にした地域では鯛一匹をまるごと炊き込んだ鯛めしが一般的。味や見た目の違いをぜひ楽しんでください。, まつ, みかんの花, こまどり
39, 高知県, 7e9e0495cf69b5e01f1bb43de5250bd84bba0cb6ed95629ba9f2bda32bb8e9fe, 05, 四万十川流域の沈下橋とその周辺の景観は、文化庁により「重要文化的景観」に認定されています。太陽の光や季節により見え方が変わる四万十川と清流に溶け込む沈下橋の景色が楽しめます。, 漁場の黒潮に近い高知県は日本有数のカツオ産地で、消費量も日本一。春の初ガツオと秋の戻りガツオはとくに美味しく、本場の高知で味わっていただきたい自慢の一品です。, ヤナセスギ, ヤマモモ, ヤイロチョウ
40, 福岡県, 13ad48410ce703d2e232919bd455a72ccf94bdbb9e4df01d3410a5276d69ba3b, 06, かつての城下町らしく、街全体を「お堀」がぐるりと取り囲み、小京都のような美しい風景が残る街。お堀の周りを歩きながら散策するのも楽しいですが、舟旅もまた情緒があるのでおすすめです。柳川の季節の花々を見ると、日本の四季の素晴らしさを実感します。, ごはんのお供はもちろん、パスタやチャーハン、パンに挟んだりすることも。和洋のグルメに何でも合う明太子は、贈答の品としても喜ばれる福岡自慢のグルメです。, つつじ, うめ, うぐいす
41, 佐賀県, f093298210d8da83285d5f2743f55797b86cd2b4a2548c70ffb1b854e23f8890, 06, 静岡県・三保の松原と福井県・気比の松原と並ぶ日本三大松原のなかで唯一の特別名勝に指定されています。虹の松原には、二本の幹の間を通ると幸せになれると言われているパワースポットもあります。, 「シシリアンライス」はあまり全国に知られていませんが、ごはんの上に甘辛いタレで炒めたお肉と生野菜を盛り付け、仕上げにマヨネーズをかけたご当地グルメです。佐賀では学校の給食にも採用され、野菜嫌いな子ども達にも大人気のメニューです。, クス, クスの花, カササギ
42, 長崎県, 573ad9d0132573a09be2c26c7b81e87d4106f48bf5c3fe349204de8575f375cf, 06, 佐世保市の「九十九島（くじゅうくしま）」は数え切れないほど島がたくさんあるという意味から名づけられたのが由来だそう。「九十九島八景」と呼ばれる、市内に点在する展望台から臨む夕陽は格別です。, アメリカ文化の影響を大きく受けた「佐世保バーガー」は、ボリューミーで食べごたえ満点。お店によってバーガーの特徴が違うので、食べ比べを楽しんでみてはいかがでしょうか。, ヒノキ・ツバキ, 雲仙ツツジ, オシドリ
43, 熊本県, 43e314f984507626c060952f481acb738180f9ce116758ca9519427aef277aa6, 06, 熊本を代表する阿蘇の癒しスポット。夏は青々とした木々の間から差し込む光が美しく、冬は滝を流れる流水が凍って幻想的な氷柱となり、季節によって異なる表情が見られます。春の鍋ヶ滝はライトアップされ、非日常の空間です。また、滝の裏側が見学できるのも魅力です。, レンコンのなかに辛子味噌がギュッと詰まった、揚げたての衣との相性がクセになる熊本の郷土料理です。辛味だけでなく旨味も詰まっていて、マヨネーズをつけるとよりマイルドになるので辛味が苦手な方でもおいしくいただけます。チーズをのせて焼いてもおいしいですよ。, クスノキ, リンドウ, ヒバリ
44, 大分県, 7d40c68fb2a1c3eb51eac6e054125d647ea8869dfd5244450d0d25b776fcac59, 06, 朱色の美しい御殿と、多くの木々に囲まれた広大な境内を誇る宇佐神宮。由緒ある神社でありながら、大分を代表する縁結びなどのパワースポットとしても有名です。\n風情たっぷりの紅葉が見られる秋、そして新緑のさわやかな初夏に訪れるのがおすすめです。, 「とり天」は、甘辛い味付けと鶏肉のコクがたまらない大分の吉野地区の郷土料理です。天つゆや名産のカボスを絞って食べる方も多いですが、揚げたてを酢醤油で食べるのもおすすめの食べ方です。, 豊後梅, 豊後梅, めじろ
45, 宮崎県, 87bc39317bafda190147af072cfff9369198a06e0e469d9dc039a4714eebbc8b, 06, イースター島のモアイ像を日本人が修復したことがきっかけで、宮崎県にもモアイ像が建てられました。   海を背にずらっと並ぶモアイ像は一見の価値ありです。7体のモアイ像にはそれぞれ仕事運や恋愛運などのジンクスがあると言われているので、チェックしてみてはいかがでしょうか？, 自然のなかでのびのびと育った地鶏を炭火で香ばしく焼き、柚子胡椒をつけて食べます。専門店や居酒屋で食べられるだけでなく、スーパーの駐車場の一角で露店販売もされており、食卓にも並ぶ小さい頃から馴染みのある料理です。, フェニックス, はまゆう, コシジロヤマドリ
46, 鹿児島県, a610b99bff3272e034aec28ca68fc726bb298ece4117bf356a3296ddd787126a, 06, 青い海と白い砂浜に囲まれた種子島宇宙センターは、世界一美しいロケット発射場と言われています。 ロケットの打ち上げ時には多くの宇宙ファンが訪れ、その日は島がとてもにぎやかです。, 「きびなご」は鹿児島県本土や甑島、種子島などの近海で一年を通じて水揚げされる青魚の一種です。旬は産卵期を迎える春から初夏ですが、冬のきびなごも身が締まり旬の時期とは違ったおいしさが楽しめます。, クスノキ・カイコウズ, ミヤマキリシマ, ルリカケス
47, 沖縄県, 0243c04479bb2705239afa4eac6c93753ed4bdbf999798df5ab02c734fabf06e, 06, 丘の上に建つ勝連城跡は、沖縄有数の景勝地。下から眺めると自然の地形が巧みに活かされていることがわかり、石垣が青い空に映えとても綺麗です。近くには海中道路もあるのでドライブコースとしてもおすすめです。, 全世代に愛されている沖縄の代表的なソウルフードです。うちなーんちゅ（沖縄県民）は大みそかの年越しそばにも、あっさりとして出汁のきいた「沖縄そば」を食べる家庭がほとんどです。, リュウキュウマツ, デイゴ, ノグチゲラ'